SubString Matches,Exact Matches,Word
12,1,ccc
1,0,clinton
9,0,pico
3,0,ccv
24,0,pica
61,0,cem
166,0,cel
1,0,fontana
7,0,cex
15,0,after
4,0,pied
3,0,timbo
2,0,eier
58,0,goof
4,0,tush
742,1,che
2,0,tusi
7,0,cig
2,0,pija
4,0,rojas
3,0,avale
11,0,root
17,0,goon
1,0,cancer
1,1,knockers
17,0,pill
4,0,dummy
3,0,piks
4,0,pila
36,0,pike
1,0,pikk
2,0,flog
1,0,jurado
33,0,pine
6,0,eins
18,0,pino
2,0,jujut
1,0,adultery
1,0,picture
85,0,coc
147,0,com
341,0,con
3,0,coq
4,0,pipi
22,0,cox
1,0,cpf
22,0,pipe
2,0,pipa
2,0,kiana
26,0,piri
1,0,piru
9,0,crs
117,0,cru
1,0,gemer
9,0,pito
1,0,shota
12,0,pist
10,0,cum
1,0,pish
44,0,cul
2,0,shots
4,0,pichu
1,0,peña
1,1,torture
1,0,gatinho
1,0,thigh
1,0,slapper
8,0,savannah
21,0,cyc
1,0,lechee
3,0,hitch
4,0,gland
1,0,wacho
3,0,steroid
13,0,cameron
2,0,daten
2,0,lombo
1,0,chaude
1,0,morder
287,0,dam
4,0,daq
20,0,ejac
2,0,dck
1,0,lomit
5,0,annale
44,0,dda
75,0,dec
5,0,criss
37,0,dex
55,0,dez
1,0,chikan
84,0,dic
310,0,die
32,0,dik
63,0,div
11,0,diu
22,0,dix
12,0,lolli
10,0,lolly
14,0,bach
3,0,dks
63,0,mack
3,0,houston
2,0,ferry
63,0,thomas
16,0,babe
1,0,moffe
158,0,baby
9,0,cooter
1,0,palli
1,0,guadalajara
1,0,palla
1,0,palle
2,0,chatte
1,0,roids
3,0,darra
3,0,chipper
2,0,palma
308,0,dog
359,1,don
29,0,dop
1,0,strok
38,0,dot
3,0,bago
61,0,dos
1,1,søren
3,0,picar
1,0,cadela
3,0,tilin
2,0,quebec
54,0,mail
38,0,main
1,0,treze
8,0,strip
1,0,macaque
1,0,twat
92,0,dst
2,0,curra
16,0,ellen
31,1,maka
10,0,bala
3,1,hardcore
1,0,gentry
50,0,dub
1,1,shojo
5,0,baka
38,0,dum
47,0,dur
4,0,mami
3,0,stinker
14,0,bank
14,0,bang
1,0,koran
3,0,cedar
2,0,alcool
2,0,dxk
6,0,xana
40,0,mano
6,0,gordon
21,0,dye
8,0,stab
21,0,dyk
1,0,aldea
41,0,3p
1,0,seeds
1,0,baps
3,0,blanche
17,0,4p
4,0,mapi
1,0,sobar
454,0,69
74,0,speed
3,0,twit
6,0,dumbo
9,0,milton
670,0,88
8,0,maul
6,0,maui
2,0,lolas
27,0,mata
122,0,mate
1,0,montecito
1,0,wenus
6,0,stiv
5,0,moreno
7,0,mayo
4,0,weaver
141,0,ees
39,0,jackson
113,0,eff
3,0,cuervo
1,0,sacrament
2,0,auburn
1,0,kviki
1,1,colita
2,0,cocos
4,0,hardin
2,0,munster
7,0,brandi
6,0,loopy
5,0,brandy
30,0,stud
3,0,ohio
3,0,kichi
75,0,elf
1284,0,ell
2,0,vaughan
8,0,negr
4,0,strand
2,1,salgado
3,0,golli
233,0,eng
2,0,memphis
21,0,nega
1,0,berkeley
1,0,choto
1,0,gangster
9,0,aryan
1,0,ohor
29,0,cell
1,0,barreiro
1,0,ashford
644,0,ero
505,0,err
876,0,ers
1,0,lockhart
23,0,cela
1,0,chopi
1,0,chopo
178,0,eta
10,0,nena
1,0,spick
21,0,yell
1,0,chope
171,1,eva
415,0,eve
12,0,flick
2,0,nepe
66,0,martin
1,0,prescott
2,0,lesbe
1,0,manassas
60,1,nerd
1,1,cuarenta
52,0,gray
29,0,gram
7,0,gras
1,0,suck
1,0,kalbe
4,0,gomas
3,0,huit
4,0,fa9
3,0,suge
2,0,newd
5,0,escue
11,0,elba
21,0,suke
3,0,fag
5,0,suka
3,0,fap
66,0,fat
1,0,yeyo
4,0,fax
28,0,davis
1,0,petera
10,0,hump
1,0,studs
18,0,elda
10,0,diaz
1,0,berlin
3,0,burner
3,0,fofo
16,0,gris
2,0,vandal
1,0,suko
8,0,suki
7,0,hull
57,0,grim
4,0,dick
37,0,fea
30,0,fed
6,0,feg
3,0,fej
1,0,kalis
4,0,feo
1,0,dics
3,0,pleb
24,0,ffs
3,0,hombre
5,0,died
3,0,fgs
3,0,diez
20,0,dies
7,0,leroy
3,0,radford
3,0,pereira
2,0,carmel
42,0,fic
20,0,fif
2,0,suso
9,0,fik
132,0,fis
20,0,elim
2,0,tinbo
2,0,corinth
1,0,fkc
705,0,bb
90,0,bh
1587,0,bi
95,0,bj
342,0,bs
39,0,bv
640,0,cu
1,0,fono
1,0,fml
221,0,dp
2,0,charco
1,0,kotze
984,0,ei
1,0,hitto
1,0,dike
2,0,weiner
8,0,foc
85,0,fb
9,0,fog
126,1,fg
4,0,fok
81,0,fk
94,0,fn
1,0,foq
502,0,fu
6,0,plos
1,0,texting
4,0,fork
2,0,nutte
2278,0,ho
28,0,four
2080,0,id
103,0,k7
6,0,dink
3,0,foto
904,1,ju
43,0,dire
1,0,ottawa
298,0,kk
504,0,ku
54,0,kz
1,0,fuc
6,0,fug
4,0,diss
1,0,panti
1,0,chichar
33,1,morgan
3,0,cutte
125,0,mf
5,0,seattle
6,0,baxter
1,0,alabama
1,0,geiger
1,0,cazzo
1,0,riquelme
528,0,nu
1483,0,ob
2,0,berserker
1,0,oito
1,0,ditz
79,0,pd
2,0,rizze
117,1,pk
24,0,rocker
451,0,ps
5,0,cholo
2,0,choke
1,0,anegam
1175,0,rk
1920,0,rt
1,0,chone
2,1,davenport
2999,0,so
1,0,thatcher
2116,1,ss
221,0,monster
1,0,wade3
192,0,tg
1,0,augusta
10,0,sissy
5,0,phillips
1,0,adolf
2,0,griffith
2,0,zizi
2,0,anarchy
36,0,vj
1,0,daule
42,0,gai
313,0,gan
15,0,gau
8,0,gay
1,0,artigas
1,0,jihad
6,0,belin
1,0,capeta
1,0,svin
2,0,aguirre
1,0,ontario
29,0,loner
1,0,laurel
1,0,iyot
1,0,nutten
1,0,jabroni
767,0,ger
16,0,gey
1,0,rivero
1,0,rizen
3,0,catalina
15,0,gfu
11,0,dallas
106,0,panda
1,0,hobart
7,0,ghb
10,0,gif
45,1,snake
223,0,gin
73,0,git
4,0,station
97,0,emil
1,0,stockton
2,0,marrero
1,0,boykin
5,0,virgin
3,0,gls
1,0,cellular
1,0,vancouver
1,0,swinger
4,0,nggr
4,0,vance
1,0,carrasco
1,0,escobar
9,0,wack
8,0,goy
4,0,campbell
4,0,morales
1,0,inject
19,0,williams
10,0,heaven
1,0,chinois
5,0,gud
87,0,gun
2,0,debil
2,0,mdma
2,0,messenger
7,0,stewart
48,0,carter
