SubString Matches,Exact Matches,Word
1299,1,ccc
837,0,clinton
558,0,pico
116,0,ccv
2,0,tallassee
988,0,pica
7,0,japse
11,0,kossu
1,0,peecock
5,0,fagot
5587,0,cem
14819,0,cel
1,0,chikane
100,0,hoden
114,0,fontana
21,0,flid
30,0,skype
466,0,cex
5,0,scheiss
902,0,after
11,0,muschi
330,1,garland
14,0,hrny
1,0,decapitate
286,0,pied
8,0,coamo
1,0,fumanti
12,1,niple
783,0,timbo
22,0,ofay
1536,0,eier
1,0,sergipe
993,0,goof
289,1,tush
94315,1,che
145,0,tusi
10,0,fornication
1,0,abruti
688,0,cig
41,0,pija
795,0,rojas
302,0,avale
1,1,cazzata
1543,0,root
136,0,salami
22,0,sphincter
1,1,jebudinho
1,0,durmiendo
112,0,gook
1721,0,goon
103,0,cancer
2,0,fagit
3,0,imbecil
32,1,mensen
56,1,knockers
1,0,menses
1640,0,pill
154,0,dummy
97,0,orellana
57,0,piks
389,1,pila
1,1,perereca
8,0,fagge
1,0,chicherio
2370,0,pike
54,1,fesse
49,0,pikk
181,0,flog
3,0,faggy
6,0,sanhueza
57,0,jurado
2203,0,pine
1172,0,eins
24,0,fattie
2014,0,pino
9,0,3yar
13,0,jujut
550,0,kentucky
16,0,newbern
1,0,adultery
245,0,hastings
1,0,beitch
2506,0,pimp
88,0,picture
8,0,faget
8971,0,coc
1,0,utuado
230,0,ogden
23,0,smegma
16572,0,com
41520,0,con
250,0,coq
231,0,pipi
3998,0,cox
38,0,szcza
2,0,burrica
1,0,pingona
211,0,cpf
2,0,chloride
1983,0,pipe
131,0,pipa
195,0,kiana
1,0,mesalina
1,0,quarante
1,1,bocão
945,0,piri
122,1,piru
2,0,ammunition
801,0,crs
12823,0,cru
46,0,gemer
53,0,appleton
795,0,pito
1,1,toonbook
3,0,newmarket
52,0,huntington
61,0,shota
13,0,hondah
5,0,melones
61,0,gozo
205,0,piss
1558,0,pist
3,0,putero
2340,0,cum
229,0,pish
5475,0,cul
647,1,hodges
370,0,shots
75,0,anaconda
185,0,pichu
1,0,ametralladora
75,0,cvn
18,0,colegio
2,0,weona
19,0,picio
37,1,peña
2,1,torture
53,0,mistress
5,0,tereso
7,0,beltrami
12,0,gatinho
206,0,redmond
143,0,thigh
4,0,sheenie
80,0,slapper
1,0,coquitlam
4,0,hatillo
4,0,barranquilla
19,0,genan
706,0,savannah
1852,0,cyc
17,0,fetis
2,0,garchar
42,0,lechee
1,0,socialista
440,0,hitch
13,0,pizd
1,0,esmegma
9,0,bolado
1,0,facada
63,0,ninety
954,0,gland
46,0,kneppe
45,0,wacho
74,0,steroid
21,0,ancash
4,0,clitor
5309,0,cameron
1,1,hiemie
1,0,clitos
37,0,wache
30,0,daten
164,0,lombo
2,0,bookface
18,0,nipel
1,0,fjams
16,0,chaude
103,0,fajardo
12,1,morder
2,0,desejo
1,0,finocchio
1,0,putedo
38733,0,dam
2,1,putilla
426,0,daq
1,0,metralleta
2,0,extasi
2,0,pipestone
1310,0,ejac
8,0,zarpa
1,0,røve
111,0,suicid
62,0,wolla
279,0,dck
2,0,holtville
81,0,lomit
3,0,salaud
4,0,saskatchewan
13,0,ficante
1,0,jappu
142,0,annale
7341,0,dda
30,0,skyde
10,0,extasy
1,0,três
1,1,calmante
5,0,bolada
12,0,trucho
21,0,berkshire
6817,0,dec
10,0,parliament
467,0,criss
2632,0,dex
7592,0,dez
11,0,arvada
50,0,presidente
1,0,jitoku
11,0,blumkin
10,0,quinze
6,0,chickenhead
13,0,caledonia
9,0,cayey
13,0,chikan
20,0,palencia
5,0,romish
12701,0,dic
3,0,kwiki
32750,0,die
1772,0,dik
1,0,aguascalientes
4494,0,div
857,0,diu
2883,0,dix
2,0,goatse
362,0,lolli
274,0,lolly
36,0,goshen
1,0,sjuff
4,0,sodomize
3424,1,bach
1,0,sjuft
78,0,machete
433,0,dks
3,0,albacete
9336,0,mack
1357,0,houston
201,0,ferry
10,0,glencoe
14546,0,thomas
88,0,cayce
1,0,agüita
2078,0,babe
26,0,crips
118,0,moffe
11343,0,baby
2,0,chupamela
4,0,jyzz
1386,0,cooter
112,0,palli
5,0,guadalajara
6,0,da.me
1,0,igueputa
250,0,palla
58,1,dulle
182,0,palle
29,0,shoka
5,0,pouta
145,0,chatte
166,0,roids
10,0,ujelly
239,0,darra
410,0,chipper
3,1,friendster
3,0,fredericksburg
347,0,palma
38796,0,dog
67897,1,don
2766,0,dop
603,0,strok
4891,0,dot
341,0,bago
4923,0,dos
1,0,morveux
2,0,huume
4,0,sjusk
3,1,søren
14,0,ciota
2,0,sfiga
4,0,absinthe
1,0,adulterize
180,0,picar
12,0,cadela
13,0,cigarette
19,1,pjok
49,0,tilin
34,0,quebec
4,0,lemonparty
28,0,socar
155,1,ashville
17,0,dqn
2179,0,mail
4120,0,main
30,0,treze
738,0,strip
1,0,boceta
10,0,macaque
1,0,6an6
152,2,bahn
14,0,nachbar
19,0,angoon
8,0,daviess
34,0,hoochie
399,0,twat
5,0,maruja
1,1,bahoner
8591,0,dst
434,0,curra
1,0,mastrbate
10,0,psychopat
2443,0,ellen
24,0,angola
22,0,tampon
1695,1,maka
1359,0,bala
4,0,beijo
7,0,chatom
1,0,falkville
247,1,hardcore
2,0,mofoh
493,1,gentry
12673,0,dub
36,0,sevier
31,0,bavaria
7,1,shojo
568,0,baka
2865,0,dum
6653,0,dur
1,1,sheister
19,1,tyster
633,0,mami
1,1,schwuler
68,0,stinker
8,0,instagram
3464,0,bank
2406,0,bang
7,0,biznitch
92,0,koran
35,0,wenis
2,0,salcha
8,0,alcolo
213,0,cedar
32,0,alcool
43,0,dxk
238,0,xana
3566,0,mano
2422,0,gordon
2,0,matamos
2523,0,dye
2,0,achtzehn
1216,0,stab
2438,0,dyk
1,0,tampax
